User_ID,Age,Gender,Technology_Usage_Hours,Social_Media_Usage_Hours,Gaming_Hours,Screen_Time_Hours,Mental_Health_Status,Stress_Level,Sleep_Hours,Physical_Activity_Hours,Support_Systems_Access,Work_Environment_Impact,Online_Support_Usage
USER-00001,23.0,Female,6.57,6.0,0.68,12.36,Good,Low,8.01,6.71,No,Negative,
USER-00002,21.0,Male,3.01,2.57,3.74,7.61,Poor,High,7.28,5.88,Yes,Positive,
USER-00003,51.0,Male,3.04,6.14,1.26,3.16,Fair,High,8.04,9.81,No,Negative,
USER-00004,25.0,Female,3.84,4.48,2.59,13.08,Excellent,Medium,5.62,5.28,Yes,Negative,
USER-00005,53.0,Male,1.2,0.56,0.29,12.63,Good,Low,5.55,4.0,No,Positive,
USER-00006,58.0,Male,5.59,5.74,0.11,1.34,Poor,Low,8.61,6.54,Yes,Neutral,
USER-00007,63.0,Female,3.38,2.55,,9.78,Excellent,Medium,8.61,1.34,Yes,Neutral,
USER-00008,51.0,Female,7.18,4.1,4.74,,Excellent,Medium,7.11,5.27,Yes,Neutral,
USER-00009,invalid,Other,10.86,4.11,0.08,6.02,Fair,Medium,7.19,5.22,No,Positive,
USER-00010,31.0,Other,4.3,7.23,0.81,,Excellent,High,5.09,0.47,No,Positive,
USER-00011,53.0,Other,4.78,,1.88,14.87,Poor,High,5.13,3.01,,Neutral,
USER-00012,64.0,Other,4.83,4.85,1.68,13.68,Fair,Low,8.57,6.35,No,Neutral,
USER-00013,40.0,Female,3.06,4.06,2.54,10.65,Poor,High,7.9,0.49,Yes,Negative,
USER-00014,24.0,invalid,5.82,5.22,3.3,1.65,Excellent,High,4.82,7.15,No,Positive,
USER-00015,38.0,Female,10.48,4.53,0.94,10.27,Poor,High,7.13,7.14,Yes,Negative,
USER-00016,53.0,Male,7.51,0.21,4.17,5.08,Good,Medium,,5.05,Yes,Negative,
USER-00017,26.0,Female,6.4,5.4,4.76,11.4,Fair,High,4.62,9.65,Yes,Neutral,
USER-00018,55.0,Female,2.03,6.56,2.01,14.88,Fair,Low,8.95,8.96,Yes,Negative,
USER-00019,55.0,Male,2.94,0.61,2.13,11.49,Excellent,High,7.71,7.51,Yes,Neutral,
USER-00020,37.0,Other,10.74,3.85,1.29,6.0,Good,Medium,5.69,7.77,Yes,Positive,
USER-00021,57.0,Female,7.69,7.33,3.16,9.55,Fair,Low,,5.65,Yes,Neutral,
USER-00022,34.0,Male,8.44,1.14,2.28,1.51,Fair,High,4.76,0.06,No,Negative,
USER-00023,38.0,Female,1.27,1.22,2.92,2.83,Poor,Low,4.01,6.48,No,Neutral,
USER-00024,39.0,Male,2.06,5.99,3.96,9.8,Excellent,Low,5.83,7.59,Yes,Negative,
USER-00025,42.0,Other,6.23,3.88,1.52,14.16,Poor,Medium,5.73,8.7,No,Positive,
USER-00026,,Other,7.39,4.15,0.19,3.03,Poor,Medium,,0.34,Yes,Positive,
USER-00027,23.0,Male,2.2,0.06,2.49,12.79,Poor,Medium,5.33,6.55,No,Positive,
USER-00028,50.0,Female,1.16,invalid,,14.72,Good,High,8.37,4.97,No,Neutral,
USER-00029,60.0,Other,5.92,7.43,2.17,5.36,,Low,5.36,9.87,No,Negative,
USER-00030,20.0,Female,3.65,7.48,0.32,1.63,Excellent,Medium,8.01,9.28,Yes,Neutral,
USER-00031,40.0,Female,5.98,4.07,2.18,8.48,Fair,Low,8.27,9.78,Yes,Positive,
USER-00032,29.0,Female,11.8,6.11,2.86,8.05,Fair,Medium,6.24,9.74,No,Positive,
USER-00033,55.0,Female,11.51,1.42,2.47,5.32,invalid,invalid,4.4,3.69,No,Negative,
USER-00034,30.0,Male,1.33,3.53,3.53,2.41,Good,Low,5.02,7.84,,Negative,
USER-00035,47.0,Male,invalid,4.52,0.61,1.69,Fair,Low,7.1,7.99,Yes,Neutral,
USER-00036,37.0,Male,5.66,7.42,1.75,13.89,Poor,Low,5.77,8.17,Yes,Negative,
USER-00037,41.0,Other,11.76,6.25,0.9,11.1,Poor,Low,7.98,0.74,Yes,Positive,
invalid,44.0,Female,6.65,4.66,1.1,12.79,Good,Low,4.47,4.69,No,Positive,
USER-00039,23.0,invalid,10.87,2.98,4.69,5.37,Excellent,Low,4.7,2.25,Yes,Positive,
USER-00040,21.0,Other,10.43,2.2,2.64,14.2,Good,High,6.98,5.61,Yes,Neutral,
USER-00041,48.0,Male,7.05,1.62,3.62,1.22,Fair,Low,6.7,5.26,Yes,Neutral,
USER-00042,57.0,Male,1.04,1.95,2.46,13.84,Excellent,Medium,7.59,8.4,No,Negative,
USER-00043,47.0,Other,10.6,6.15,2.95,14.35,Excellent,High,5.0,4.1,No,Neutral,
USER-00044,50.0,Male,4.45,4.5,0.81,14.03,invalid,Low,5.73,3.62,Yes,Negative,
USER-00045,24.0,Other,7.0,4.06,0.73,8.14,Poor,High,8.47,2.28,Yes,Neutral,
USER-00046,23.0,Female,2.06,5.93,1.97,8.76,Excellent,High,4.46,0.9,Yes,Neutral,
USER-00047,30.0,Female,3.34,4.26,2.33,2.75,Good,Medium,4.38,1.48,Yes,Positive,
invalid,30.0,Other,6.01,1.5,4.85,1.78,Excellent,Medium,6.58,3.3,No,Negative,
USER-00049,45.0,Male,2.95,3.16,1.96,6.9,Poor,Medium,8.02,2.07,No,Negative,
USER-00050,38.0,Female,3.06,0.82,2.76,1.2,Excellent,Low,4.41,8.6,No,Neutral,
USER-00051,37.0,Female,4.53,5.02,1.97,5.84,Excellent,High,4.35,4.22,Yes,Neutral,
USER-00052,57.0,Other,2.95,1.48,3.91,7.22,Fair,High,8.96,0.33,No,Negative,
USER-00053,23.0,Male,7.29,invalid,1.64,14.31,Excellent,Medium,5.53,9.31,No,Neutral,
USER-00054,59.0,Other,11.63,invalid,2.46,6.25,Good,Medium,7.1,0.52,No,Positive,
USER-00055,60.0,Other,5.55,7.83,1.51,8.23,Fair,Medium,4.62,2.99,No,Negative,
USER-00056,40.0,Male,9.24,7.78,2.29,9.01,Poor,High,7.35,4.2,Yes,Neutral,
USER-00057,62.0,Female,6.98,3.38,1.54,8.35,Fair,High,6.03,1.84,Yes,,
USER-00058,44.0,Male,5.55,5.35,2.39,5.94,Poor,Medium,8.2,9.67,invalid,Negative,
USER-00059,28.0,Other,5.32,6.4,1.58,4.74,Fair,High,4.63,4.32,Yes,Neutral,
USER-00060,59.0,Male,11.15,7.07,2.66,8.57,Fair,Low,8.6,4.82,Yes,Negative,
USER-00061,39.0,Female,4.53,3.21,3.15,2.4,Poor,Low,4.08,9.41,No,Negative,
USER-00062,32.0,Female,3.22,2.13,4.15,5.66,Excellent,Medium,5.37,8.89,Yes,Positive,
USER-00063,55.0,Male,3.73,1.41,4.16,12.86,Poor,Low,8.64,8.36,Yes,Positive,
USER-00064,49.0,Female,4.22,invalid,1.23,13.36,invalid,Medium,,1.1,No,Negative,
USER-00065,34.0,Other,7.93,2.95,1.43,,Good,Medium,7.59,1.73,Yes,Positive,
USER-00066,21.0,Other,5.95,5.04,1.64,13.2,Excellent,Low,6.77,9.5,Yes,Neutral,
USER-00067,25.0,Female,11.56,2.03,2.55,6.4,Fair,High,invalid,2.6,Yes,Neutral,
USER-00068,40.0,Male,9.98,3.74,1.06,14.73,Fair,Low,8.38,6.66,No,Positive,
USER-00069,53.0,Male,1.47,4.36,2.1,1.07,Good,Medium,5.2,1.89,Yes,Negative,
USER-00070,60.0,Male,5.7,5.84,3.97,1.36,Poor,invalid,8.96,3.83,No,Neutral,
USER-00071,55.0,Female,3.58,6.62,1.55,8.34,Excellent,Medium,7.89,2.24,Yes,Positive,
USER-00072,62.0,Female,8.3,4.01,0.43,13.61,Good,Low,4.39,7.53,No,Neutral,
USER-00073,40.0,Other,7.22,3.36,,9.66,Excellent,High,4.07,9.86,No,Neutral,
USER-00074,33.0,Female,9.63,2.89,3.19,6.26,Good,Low,,3.66,No,Positive,
USER-00075,57.0,Male,5.13,0.63,4.04,2.37,Fair,Medium,5.48,9.37,Yes,Negative,
